Elevation,LST,NDVI,NDWI,Rainfall,VH,VV,soil_moisture,.geo
75,29.24312500000002,0.1803611666507982,-0.2004234662259863,0.2243904620409011,-17.003905374024406,-7.974047963800815,7.587543964385986,"{""type"":""Point"",""coordinates"":[84.96396376062312,26.816688744199194]}"
305,31.606585365853675,0.2118674482593611,-0.2799831525744972,0.1098599657416343,-16.230212884508187,-9.893380730669328,6.656668186187744,"{""type"":""Point"",""coordinates"":[83.15522966111739,24.61045362673921]}"
65,31.434117647058827,0.2412060993695849,-0.2941716114519342,0.1247242838144302,-17.58999730184687,-9.911382628115284,7.761479377746582,"{""type"":""Point"",""coordinates"":[84.02402959015284,25.65160805242785]}"
103,29.60290322580647,0.22960648232259,-0.2596783799880881,0.2265310734510421,-17.241127826166657,-9.545834674874948,9.1655912399292,"{""type"":""Point"",""coordinates"":[83.48318815410089,27.428357796032852]}"
63,27.740434782608705,0.2362390569528804,-0.1982053914299836,0.3816459774971008,-15.989065185077422,-8.464350443643026,12.189009666442873,"{""type"":""Point"",""coordinates"":[87.58655601594835,26.35768401438909]}"
27,24.374000000000024,0.2934069955599843,-0.2673121038920642,0.207793116569519,-19.047531708214137,-11.983764400990284,11.173921585083008,"{""type"":""Point"",""coordinates"":[87.96058974220847,25.028774261568206]}"
805,22.831500000000062,0.3608979708139132,-0.3380225321673704,0.249218538403511,-11.44565208171883,-3.802375273209638,12.50803565979004,"{""type"":""Point"",""coordinates"":[86.36765896909755,27.12325275635049]}"
2946,9.818205128205136,0.0808356039963669,-0.0738860688099266,0.190035730600357,-14.654368380053832,-8.165711904735614,24.34515953063965,"{""type"":""Point"",""coordinates"":[87.43630977094466,27.489358019331984]}"
121,31.183333333333337,0.2159653632796644,-0.2589936120138966,0.1574902683496475,-18.87653328929837,-11.17199042719878,7.9839911460876465,"{""type"":""Point"",""coordinates"":[86.7974644272288,24.904087041096506]}"
1132,23.305813953488386,0.3447919153338107,-0.3249359744943292,0.2889005243778229,-13.287651473186193,-6.335122718143904,13.76544952392578,"{""type"":""Point"",""coordinates"":[86.18029931966183,27.375880537290712]}"
76,29.021875000000023,0.2400168791364989,-0.242371883806754,0.2258133590221405,-17.725724107724,-10.130804203196249,8.354793548583984,"{""type"":""Point"",""coordinates"":[85.03651515358014,26.840542907431566]}"
65,28.05000000000001,0.1555438473246692,-0.173316689700266,0.2449023872613906,-17.94092025220943,-10.040725238997783,11.112241744995115,"{""type"":""Point"",""coordinates"":[86.51394599020233,26.379077863421564]}"
53,28.71387096774197,0.2529195113187207,-0.2487269878574226,0.1799171715974807,-17.05071605543457,-10.209139552704908,9.990039825439451,"{""type"":""Point"",""coordinates"":[85.53214344985088,26.033343005962962]}"
1059,22.47648648648652,0.3286577814833433,-0.3600457180724444,0.1844205260276794,-15.79223436748695,-8.992589474285065,15.436004638671877,"{""type"":""Point"",""coordinates"":[87.6174238325189,27.084200058916796]}"
82,29.928709677419363,0.2052151058237654,-0.238692708240772,0.1709582060575485,-17.204263848307104,-9.829149029094127,8.549946784973145,"{""type"":""Point"",""coordinates"":[83.10298887876134,26.527299610096332]}"
109,29.83823529411768,0.2184785193295619,-0.2605065572129342,0.2829774022102356,-17.16870744343143,-9.67294106835156,10.75208854675293,"{""type"":""Point"",""coordinates"":[83.66865759775911,27.481746857029442]}"
71,30.546875000000057,0.2572276878947236,-0.2757819481680073,0.1354905366897583,-17.33281469861116,-9.99234390358893,6.844578742980957,"{""type"":""Point"",""coordinates"":[83.7180707836254,25.75233691956287]}"
2798,13.811142857142896,0.0667819736715672,-0.0629772362783349,0.1530060768127441,-14.617090141944647,-7.808977844649379,21.86431312561035,"{""type"":""Point"",""coordinates"":[87.97378277418255,27.213609153710017]}"
85,29.97529411764708,0.2931647008668466,-0.3031960468198652,0.1951437294483184,-16.487111737418786,-9.163989520105767,8.620275497436523,"{""type"":""Point"",""coordinates"":[83.40869779772126,27.032846461127473]}"
63,28.14939393939397,0.229483356957818,-0.2543196086546755,0.1610004156827926,-18.29866008211658,-11.927522396588785,8.719206809997559,"{""type"":""Point"",""coordinates"":[84.13719781162162,26.02886157465428]}"
38,27.226,0.2665997844907665,-0.2770389240624883,0.1367675215005874,-16.632919673951836,-9.324701816532786,7.6753082275390625,"{""type"":""Point"",""coordinates"":[86.72600504558416,25.48896434058818]}"
2282,14.156875000000014,0.0526567965119064,-0.0328130876269274,0.1654693782329559,-13.065349976998254,-6.486061181585677,24.55174827575684,"{""type"":""Point"",""coordinates"":[87.04239023415923,27.455984398423897]}"
65,28.70111111111112,0.2019149663741023,-0.1884442160217482,0.2134646475315094,-17.318322054906112,-10.673314286874607,9.542780876159668,"{""type"":""Point"",""coordinates"":[86.24769834627749,26.445293882258557]}"
59,27.334827586206927,0.2746542946638793,-0.2509781467697299,0.2501202821731567,-16.42862323073126,-9.771195825819444,10.804301261901855,"{""type"":""Point"",""coordinates"":[86.74793502130518,26.202541386255483]}"
880,23.324500000000057,0.3913902231000583,-0.3733274257864422,0.1411058902740478,-13.47900522893177,-6.772677324487367,18.809261322021484,"{""type"":""Point"",""coordinates"":[87.82603204227917,27.283564681001604]}"
88,27.63516129032263,0.2632520735241793,-0.2590072953497739,0.224055603146553,-16.31648884178011,-9.300194068854164,7.409821510314941,"{""type"":""Point"",""coordinates"":[85.11031299162619,26.926192750618277]}"
64,28.013030303030348,0.2923383011255825,-0.2730697618710597,0.1575612872838974,-15.950457185552771,-8.820409813201424,8.952540397644043,"{""type"":""Point"",""coordinates"":[84.88531640113497,26.26982728350262]}"
81,30.577333333333343,0.3010875832906202,-0.3233870967741935,0.1583577990531921,-16.310602308847873,-9.335365302470017,7.725966930389404,"{""type"":""Point"",""coordinates"":[83.01020503672164,26.038047845534074]}"
58,27.08866666666665,0.2616544140359548,-0.2621378423810936,0.3023835718631744,-16.190366216031883,-9.412047444098484,11.229100227355955,"{""type"":""Point"",""coordinates"":[87.03685512538036,26.133378637827324]}"
73,26.758947368421104,0.2620444591356086,-0.2543119024935116,0.2756476402282715,-16.11744077014973,-9.275011150075358,12.418770790100098,"{""type"":""Point"",""coordinates"":[86.79706659491949,26.461497227817304]}"
81,29.070714285714303,0.2427951130220084,-0.2546655922643029,0.2006455659866333,-15.517180689726272,-8.82673995585558,7.358415603637695,"{""type"":""Point"",""coordinates"":[84.52044689222016,26.78213251233948]}"
235,26.11242424242425,0.3344038538739462,-0.3194664973007304,0.3391427099704742,-13.754868106355133,-6.873140067966518,9.08000946044922,"{""type"":""Point"",""coordinates"":[86.58333729539733,26.697940463051356]}"
344,23.855000000000015,0.4578862660944206,-0.4018829338393795,0.310487151145935,-14.040739168267317,-6.860849534492489,9.971055030822754,"{""type"":""Point"",""coordinates"":[84.19081368869534,27.452997977782587]}"
45,31.443939393939445,0.1890460299804015,-0.2545030963699297,0.1246642470359802,-17.740907428590337,-10.25069462262228,8.897153854370117,"{""type"":""Point"",""coordinates"":[85.7526179334998,25.261426029051346]}"
84,27.51866666666666,0.2350607550801456,-0.2567160001914911,0.2415606528520584,-17.014463612133813,-9.644331266668948,7.409821510314941,"{""type"":""Point"",""coordinates"":[85.07071315669604,26.904258740381124]}"
102,31.507714285714314,0.23161961780779,-0.2455471862535192,0.1395111680030822,-16.736267725963632,-8.46625574654323,7.424765586853027,"{""type"":""Point"",""coordinates"":[84.6409171172858,24.845037711003023]}"
44,28.64103448275864,0.1928503235387716,-0.2451555752408371,0.1527377068996429,-16.536438119662215,-8.847163620523187,5.90257740020752,"{""type"":""Point"",""coordinates"":[86.46971474608603,25.348664730480163]}"
96,31.74405405405412,0.231459830482883,-0.2685039084382088,0.1543736606836319,-18.04175210998529,-10.871565781387902,7.98655891418457,"{""type"":""Point"",""coordinates"":[84.12602769047342,25.111837780264207]}"
75,30.53121212121215,0.274059299604925,-0.2952939524871703,0.1528631448745727,-16.6817195673073,-9.290496005893417,6.989197254180908,"{""type"":""Point"",""coordinates"":[85.11664645878415,25.10437244481339]}"
360,24.825294117647104,0.4351673720661793,-0.3775176841567,0.3160170912742615,-14.256365091589249,-7.393095223621262,8.880069732666016,"{""type"":""Point"",""coordinates"":[84.56673184881767,27.38895898364614]}"
58,28.919743589743632,0.0941547299116689,-0.0986420848720811,0.1224039644002914,-23.685754149620696,-16.535513289729323,7.415063381195068,"{""type"":""Point"",""coordinates"":[83.84253666133063,25.51242118531136]}"
47,27.952500000000043,0.2198105761641673,-0.1976558337773041,0.3975376188755035,-16.487831015754548,-9.560081256943462,13.662790298461914,"{""type"":""Point"",""coordinates"":[87.7683524550449,26.101472633398977]}"
69,30.66555555555556,0.162022979895935,-0.1803211869242683,0.1792438626289367,-17.055347386383108,-9.838392156756177,9.312744140625,"{""type"":""Point"",""coordinates"":[84.31725136990572,26.3512957023941]}"
84,30.013030303030348,0.1545019313945535,-0.2163289497453676,0.1951437294483184,-18.032799646174368,-10.78005103877958,8.859383583068848,"{""type"":""Point"",""coordinates"":[83.41564901905919,27.0963645828059]}"
31,27.745483870967742,0.293236461688263,-0.2626421441368971,0.2543575167655945,-15.573781164324544,-8.664649570675634,13.529279708862305,"{""type"":""Point"",""coordinates"":[87.69309877920577,25.505477462637607]}"
84,28.92161290322582,0.2502527944029952,-0.2345639032815199,0.1865100413560867,-17.706801536404562,-10.533284748969391,8.749979972839355,"{""type"":""Point"",""coordinates"":[83.84751990640214,26.833402654452062]}"
247,30.77342857142861,0.2353457213493899,-0.2932042077141426,0.1551749408245086,-18.141476399246148,-10.914179107813244,7.510475635528564,"{""type"":""Point"",""coordinates"":[86.74164338525001,24.547615556989044]}"
51,27.171379310344832,0.3769937682340619,-0.3445744557604609,0.2582135796546936,-15.919745973347103,-9.143744022664947,11.469094276428224,"{""type"":""Point"",""coordinates"":[87.03456836991289,25.95130951704994]}"
32,27.88411764705881,0.204818422637328,-0.198267270197878,0.1405490338802337,-17.886640954827964,-10.506674329068549,6.855847835540772,"{""type"":""Point"",""coordinates"":[86.98093512268122,25.27558021532035]}"
71,30.55133333333339,0.2438585915703334,-0.242744836775483,0.1916431933641433,-16.703489662196475,-9.819961489753748,8.343838691711426,"{""type"":""Point"",""coordinates"":[84.13856181554613,26.295662370672815]}"
78,30.57057142857144,0.2072804212449808,-0.2315767527992052,0.1546078473329544,-17.777326739821913,-10.542439608964695,7.05666971206665,"{""type"":""Point"",""coordinates"":[83.15396194066815,25.838185502226054]}"
47,28.719473684210584,0.0869662928081935,-0.127104095947552,0.1377628147602081,-21.163803378365053,-13.605526692176262,5.456160068511963,"{""type"":""Point"",""coordinates"":[85.59744426680668,25.535384332651123]}"
472,31.04076923076923,0.2305659330799223,-0.3055255073341699,0.1219448745250701,-16.522114933789204,-9.991801726129992,7.66060733795166,"{""type"":""Point"",""coordinates"":[83.59272841797898,24.72140258164712]}"
85,29.573870967741986,0.1842094885041605,-0.2108552764224364,0.1873277127742767,-14.524959071396324,-7.347138263958457,9.880037307739258,"{""type"":""Point"",""coordinates"":[83.39837376737597,26.800859582823843]}"
79,30.303714285714307,0.2245959886870359,-0.2766577605052222,0.1382134854793548,-17.061564437237866,-10.066949309088926,9.966711044311523,"{""type"":""Point"",""coordinates"":[86.19678160475104,24.94057795748103]}"
87,29.362727272727284,0.2175067617408408,-0.2572937561892187,0.2808499038219452,-17.55016711389271,-9.864499019081869,11.374284744262695,"{""type"":""Point"",""coordinates"":[86.68972899974943,26.54841990395592]}"
102,31.11705882352942,0.2830615675224491,-0.3319007320317738,0.1395111680030822,-17.1292519018969,-9.997169020844373,7.424765586853027,"{""type"":""Point"",""coordinates"":[84.69676068536162,24.865857698494594]}"
176,30.716111111111104,0.2973717038757689,-0.3164940053544407,0.1676991134881973,-17.19326640307013,-10.529512753963289,7.287816524505615,"{""type"":""Point"",""coordinates"":[86.822583712032,24.71301193808932]}"
56,28.69846153846157,0.2679319694355435,-0.267905925849851,0.4655416309833526,-16.881629355635177,-9.637122344076344,13.039817810058594,"{""type"":""Point"",""coordinates"":[87.92262971020531,26.223023173269567]}"
1389,22.19888888888892,0.137210050394939,-0.109762477764989,0.6329439878463745,-9.981107126407773,-2.949106704794444,12.480979919433594,"{""type"":""Point"",""coordinates"":[85.22270212016622,27.461538769064095]}"
85,30.05848484848485,0.2373568532612561,-0.2723194695011945,0.1827878654003143,-16.902459501001058,-9.34782689652125,8.620275497436523,"{""type"":""Point"",""coordinates"":[83.44985162383534,26.95883344497086]}"
62,27.28375000000005,0.2070181028817238,-0.208871868517632,0.2449023872613906,-17.467648031661238,-9.873877103931266,11.112241744995115,"{""type"":""Point"",""coordinates"":[86.52912280793602,26.331097452714513]}"
62,28.46428571428578,0.2046793711017216,-0.2078038096884815,0.1892570853233337,-16.239002183520835,-9.003188830825847,8.894433975219727,"{""type"":""Point"",""coordinates"":[85.9559555618093,26.465108393540717]}"
2680,14.09647058823532,0.0374635344695224,-0.0219298245614035,0.1472567766904831,-8.183756589653841,-0.9866371984451352,23.44661521911621,"{""type"":""Point"",""coordinates"":[87.92419709038121,27.425271954533084]}"
2457,15.340000000000032,0.0740009973764662,-0.0631210696885798,0.2038813233375549,-11.852773328800147,-5.194318842114771,19.688322067260746,"{""type"":""Point"",""coordinates"":[87.06266091568347,27.287468142362812]}"
44,27.79909090909092,0.1517167272169063,-0.1702194031402724,0.1406935453414917,-19.47923617213822,-12.304178967820866,7.335909843444824,"{""type"":""Point"",""coordinates"":[86.11562120552564,25.34828194057555]}"
883,24.091000000000008,0.2884750954128886,-0.3354497354497354,0.2026085406541824,-15.40588662002276,-8.830156777927469,13.472648620605469,"{""type"":""Point"",""coordinates"":[87.57054094072332,27.007997091107836]}"
52,29.492068965517262,0.3205066144542624,-0.2938095069550136,0.1827607899904251,-15.210193685388411,-8.097244479051472,8.66402816772461,"{""type"":""Point"",""coordinates"":[85.57797231107422,25.92669051860252]}"
35,27.79848484848486,0.2608959572659949,-0.2377547372184483,0.2518607378005981,-15.91174872507667,-8.966735591943154,13.898244857788086,"{""type"":""Point"",""coordinates"":[87.57450953658119,25.63346193005183]}"
49,27.445454545454595,0.2595311608036191,-0.237681631471328,0.3392205536365509,-15.993132771000797,-8.984201621605543,12.372392654418944,"{""type"":""Point"",""coordinates"":[87.512026758058,26.030854436863667]}"
47,28.058148148148177,0.2462192013593883,-0.2473395208707906,0.4316293597221374,-17.56920025936202,-10.063179236954042,12.50429630279541,"{""type"":""Point"",""coordinates"":[87.91832795956786,26.02129058006547]}"
75,31.85628571428577,0.2170185699865876,-0.2655366050047579,0.1158523634076118,-18.56110828772008,-10.92387343388206,6.859005451202393,"{""type"":""Point"",""coordinates"":[83.8810604039633,25.279245847855652]}"
99,31.305675675675676,0.2313326842166382,-0.2720793273112908,0.1391821056604385,-18.310768946940662,-11.39077730797461,6.779332160949707,"{""type"":""Point"",""coordinates"":[84.18700698468116,25.037635719423193]}"
70,28.54939393939395,0.2252078519839176,-0.2288474241025322,0.1443118751049041,-18.21360671789391,-11.08244363436037,7.997901916503906,"{""type"":""Point"",""coordinates"":[83.87347891383824,26.19711007334005]}"
71,29.77875,0.2648102282615971,-0.2634218371270164,0.1598846167325973,-16.61372218482095,-9.250388659107664,9.459054946899414,"{""type"":""Point"",""coordinates"":[84.4420714672249,26.411630204387748]}"
278,27.94888888888892,0.3551284673740006,-0.3530226610783548,0.1635019034147262,-14.090922167863765,-7.56389643927285,11.01107692718506,"{""type"":""Point"",""coordinates"":[87.48386130828928,24.92264479139804]}"
447,23.722352941176496,0.3901855804784734,-0.3351282118305147,0.4948949813842773,-13.028409755749715,-6.147227874569813,10.059701919555664,"{""type"":""Point"",""coordinates"":[85.33107563940209,27.243259513817396]}"
297,32.43615384615384,0.1688618766131046,-0.225536966797753,0.1067261099815368,-16.42376948885452,-9.965125601087848,6.656668186187744,"{""type"":""Point"",""coordinates"":[83.16687717950289,24.592762775356693]}"
104,30.64696969696973,0.2504009980395651,-0.2949060139701289,0.1520302891731262,-17.64070283709527,-9.964537485333318,7.223354339599609,"{""type"":""Point"",""coordinates"":[85.05504899986805,24.853259505755105]}"
88,27.94675675675677,0.2369843967248571,-0.2330317613089509,0.2947767972946167,-17.489099679378835,-9.637938978595166,12.622238159179688,"{""type"":""Point"",""coordinates"":[86.87774433343338,26.57600388499599]}"
67,30.174210526315846,0.0286382349414445,-0.0783545304187001,0.115334652364254,-23.202041442436474,-14.993383835480545,5.956454277038574,"{""type"":""Point"",""coordinates"":[83.2436065871618,25.515895074609386]}"
110,29.391764705882395,0.3168715267321854,-0.3408299951420357,0.180981159210205,-15.440732839417327,-8.613637619274343,7.9839911460876465,"{""type"":""Point"",""coordinates"":[86.86376684183124,24.962492673393662]}"
57,30.265000000000043,0.2858783008036739,-0.2899652585469009,0.1375123262405395,-17.082467637376187,-10.136136324303548,6.775715827941895,"{""type"":""Point"",""coordinates"":[85.18748609661621,25.31878745027467]}"
91,30.7918181818182,0.1836719049444231,-0.2447400241837968,0.180981159210205,-17.57011121577731,-10.280104008653778,6.575532913208008,"{""type"":""Point"",""coordinates"":[86.88230071624666,24.909764728735837]}"
78,29.873448275862074,0.2426584234930448,-0.2426715787467844,0.1814366579055786,-16.80880152566736,-9.597938106221177,7.8758015632629395,"{""type"":""Point"",""coordinates"":[84.2187611933825,26.546739445678785]}"
98,29.482352941176487,0.3790041230574056,-0.3814138204924543,0.1602198481559753,-12.967556296609724,-6.331554043460814,10.247793197631836,"{""type"":""Point"",""coordinates"":[86.4910021215248,25.244520071650918]}"
138,29.165625000000038,0.3115906898157259,-0.3212049416144864,0.1407106220722198,-15.719674802217614,-8.474915159433575,10.269306182861328,"{""type"":""Point"",""coordinates"":[87.4789730447322,24.55370407708114]}"
227,26.006842105263217,0.2894206210512166,-0.2362948960302457,0.2780321836471557,-14.334960528457568,-7.38776963347362,11.716002464294434,"{""type"":""Point"",""coordinates"":[87.28506581915846,26.755927612848208]}"
205,30.83526315789476,0.2572360882347349,-0.2843924035015737,0.1117844060063362,-17.10719021455184,-9.050397411882264,6.589883804321289,"{""type"":""Point"",""coordinates"":[83.04780955586372,24.585775663023778]}"
75,32.88515151515156,0.2282489632271814,-0.2626416498245403,0.1056248247623443,-18.15455729385658,-10.91160412770578,8.02956485748291,"{""type"":""Point"",""coordinates"":[83.41825180653812,25.29024487449709]}"
1333,25.4337209302326,0.3112787421612287,-0.3223958572017781,0.6417650580406189,-11.34928954709223,-4.266995324667178,11.716094970703123,"{""type"":""Point"",""coordinates"":[85.79632425420372,27.47090050793348]}"
32,30.13235294117652,0.2365973096949326,-0.2305547363058691,0.1827424168586731,-17.87668765420396,-10.92011759288372,10.84223175048828,"{""type"":""Point"",""coordinates"":[87.77581347157609,24.683227574489386]}"
330,30.626000000000037,0.259843333936558,-0.3092397962473402,0.1070789545774459,-16.623246944244993,-9.481524776004076,6.146251201629639,"{""type"":""Point"",""coordinates"":[83.26486646357856,24.65342420793113]}"
156,30.55444444444447,0.2866164215279392,-0.3087600559281849,0.1498704403638839,-15.305804921173165,-9.219659479589126,8.088993072509766,"{""type"":""Point"",""coordinates"":[85.14726091769963,24.74335836650817]}"
87,29.964375000000015,0.2404676396423932,-0.2748296915797946,0.1838087290525436,-17.41367574137974,-10.13943553346193,8.599456787109375,"{""type"":""Point"",""coordinates"":[83.65207158880908,26.827995464290208]}"
60,30.53812500000004,0.2716700418258468,-0.2968407259111904,0.1430732011795044,-16.65385542376734,-9.740083090338874,7.109843254089356,"{""type"":""Point"",""coordinates"":[84.95164449833209,25.517081898831695]}"
327,28.81812500000001,0.1954173058719849,-0.1601989419330313,0.2828269004821777,-13.962152333701288,-5.983894141148542,12.468320846557615,"{""type"":""Point"",""coordinates"":[87.30194248866123,26.78776901829796]}"
65,26.944857142857188,0.1993970088465149,-0.205326175067441,0.1776373237371444,-17.50287226174979,-10.280527184245834,8.952540397644043,"{""type"":""Point"",""coordinates"":[84.82445554703133,26.308238108901246]}"
95,28.686666666666724,0.256012871464129,-0.2831261660185664,0.2658821642398834,-16.064993556828938,-8.843766624869902,8.229023933410645,"{""type"":""Point"",""coordinates"":[84.47442414459735,27.21585091997893]}"
60,30.33000000000004,0.2845895813867997,-0.2838963752779489,0.159999594092369,-16.08530248809741,-8.51013840764582,8.08885669708252,"{""type"":""Point"",""coordinates"":[84.7261663889855,25.948143172141776]}"
82,29.85457142857149,0.1929289850655288,-0.2201508822245776,0.1751686930656433,-18.152978710120237,-10.830367270046242,8.687494277954102,"{""type"":""Point"",""coordinates"":[83.72396520079471,26.6703904502752]}"
69,26.59571428571428,-0.0008112568886899853,0.0226296346969489,0.2739875316619873,-25.51126234910679,-14.98337774665062,11.169596672058104,"{""type"":""Point"",""coordinates"":[86.81992749737283,26.39570471311968]}"
73,29.754137931034503,0.2374791015483026,-0.2581479565442318,0.1858606189489364,-16.46472486215839,-9.537925278293772,7.3867878913879395,"{""type"":""Point"",""coordinates"":[83.46192501095322,26.418638181360702]}"
39,27.202800000000025,0.3066318013611478,-0.2693498452012384,0.3520011305809021,-15.729971582299234,-8.432460190355236,12.718423843383787,"{""type"":""Point"",""coordinates"":[87.95180274377748,25.811557142904086]}"
500,24.57000000000005,0.340864777379965,-0.3401965642500651,0.1503397971391677,-15.00591335729428,-8.201884423354691,15.436004638671877,"{""type"":""Point"",""coordinates"":[87.63621526987362,27.11750213947456]}"
