Model,RMSE,R2,MAE
Random Forest,0.03486315736817962,0.8756431950229264,0.01773637265438891
ANN,0.039215370455720704,0.8426565143384084,0.023379440965375545
Hybrid (RF+ANN),0.0355777022469588,0.8704933959937257,0.019672777425517332
