system:index,Elevation,LST,NDVI,NDWI,Rainfall,VH,VV,VV_VH_ratio,VV_minus_VH,soil_moisture,.geo
0,272,29.37789473684211,0.21206138425432655,-0.26088966265049834,0.1370743364095688,-18.052584554580648,-9.893344229387429,0.548029241988904,8.159240325193219,9.175481796264648,"{""type"":""Point"",""coordinates"":[76.43048606789272,30.672207184854887]}"
1,242,29.32027027027027,0.28296507483962935,-0.3438853217858743,0.13630156219005585,-19.24674644629762,-11.573097245010384,0.601301486321426,7.673649201287237,10.396429061889648,"{""type"":""Point"",""coordinates"":[76.69512302882654,29.595275533644752]}"
2,211,30.362000000000023,0.30274418536139874,-0.35282856581435323,0.09872114658355713,-16.713556859454386,-10.778349311228796,0.644886627177254,5.9352075482255895,8.248092651367188,"{""type"":""Point"",""coordinates"":[75.10375695247463,30.1173144001956]}"
3,248,29.581052631578984,0.2368329523998807,-0.2740393842846724,0.12441757321357727,-18.64495711488898,-11.08316790434408,0.5944324696511951,7.561789210544902,10.220505714416504,"{""type"":""Point"",""coordinates"":[76.69034790098826,29.790433851531837]}"
4,275,30.020243902439063,0.17189174242162386,-0.23302218450721304,0.1437472105026245,-18.816011702049973,-11.313591200140193,0.6012746685796116,7.50242050190978,12.054519653320312,"{""type"":""Point"",""coordinates"":[75.25043026537337,32.258918146524366]}"
5,2759,18.051363636363646,0.31536717251002966,-0.3234274683007443,0.41585078835487366,-13.092062712326975,-6.111113116348212,0.46678000637701095,6.980949595978762,13.609099388122559,"{""type"":""Point"",""coordinates"":[76.37943991087165,32.481158616127125]}"
6,235,28.605897435897475,0.27547608664050005,-0.3305026916369702,0.13506950438022614,-18.56753256240378,-10.728791974054355,0.5778254023789033,7.838740588349426,10.747652053833008,"{""type"":""Point"",""coordinates"":[75.24219518637646,31.52662467695227]}"
7,231,30.637317073170777,0.03752521494914103,-0.06421116123937878,0.10352619737386703,-11.37479574549355,-4.526266645195882,0.3979206964651732,6.848529100297668,9.441489219665527,"{""type"":""Point"",""coordinates"":[74.17971386703715,32.165656488370864]}"
8,209,28.972926829268317,0.250548013690728,-0.292782316576222,0.11623388528823853,-17.460982143884234,-9.132548233158836,0.5230260335818246,8.328433910725398,7.825592517852783,"{""type"":""Point"",""coordinates"":[74.1601137181223,31.774724973237213]}"
9,228,28.363499999999988,0.2381541958858094,-0.29226467254874955,0.1340608447790146,-17.384341446049067,-9.680846920605713,0.5568716508847608,7.703494525443354,10.534070014953613,"{""type"":""Point"",""coordinates"":[75.10017918843573,31.415874035842982]}"
10,272,29.509459459459492,0.2897833553335377,-0.3175176525413564,0.1349749118089676,-18.053392420046208,-10.175513425030447,0.5636344232861029,7.877878995015761,9.175481796264648,"{""type"":""Point"",""coordinates"":[76.36158051348873,30.71692843181221]}"
11,339,29.893589743589757,0.21593291404612155,-0.2677991506370222,0.12240945547819138,-16.828320968702947,-9.936820055753484,0.590481966337214,6.891500912949462,12.601137161254883,"{""type"":""Point"",""coordinates"":[75.91683977112817,31.607820416499205]}"
12,1018,24.819047619047637,0.322386396795501,-0.34822648041217596,0.1638018935918808,-12.269385258147782,-5.1300635320517385,0.41811903564157754,7.1393217260960435,12.496967315673828,"{""type"":""Point"",""coordinates"":[76.88768479799627,31.0004600285604]}"
13,233,29.06891891891894,0.31511780188248145,-0.3360877041463396,0.1304256021976471,-18.394941711428864,-10.885027855069865,0.5917402743552563,7.509913856358999,11.24472713470459,"{""type"":""Point"",""coordinates"":[74.4799810678799,32.27612011881765]}"
14,197,30.52707317073174,0.30970636113976124,-0.34870626775522745,0.09778860956430435,-18.932228952087844,-11.067211456744335,0.5845699143377328,7.865017495343508,6.443336009979248,"{""type"":""Point"",""coordinates"":[74.74470159097191,29.568364116348608]}"
15,244,29.38783783783788,0.2585805700988947,-0.291063702819633,0.13865908980369568,-18.273122976840344,-11.0739663961034,0.6060248382358465,7.199156580736945,9.230433464050293,"{""type"":""Point"",""coordinates"":[76.52587904210051,29.9045304193758]}"
16,213,30.78315789473686,0.2568081991215227,-0.3092351101959887,0.08270906656980515,-18.004932670153778,-10.96414610256799,0.6089523523041503,7.040786567585789,8.604612350463867,"{""type"":""Point"",""coordinates"":[75.18233735337671,29.935243702829045]}"
17,224,25.639523809523837,0.0458087002622021,-0.0962795136449094,0.13027001917362213,-21.350603822195556,-12.394548897607699,0.5805245135373003,8.956054924587857,11.622817039489746,"{""type"":""Point"",""coordinates"":[74.11313695093726,32.48768274889647]}"
18,180,34.91210526315791,0.12498419681913576,-0.22434402332361517,0.095121830701828,-18.733745988599757,-10.627976898993579,0.5673172309190662,8.105769089606179,4.833164691925049,"{""type"":""Point"",""coordinates"":[74.04201145791139,29.742592882597208]}"
